STRUCTURE_TYPE,TYPE,the_geom,REVIS_DATE,ACCESS_HOURS,MODIFIED_DT,,
Enclosed,,"MULTIPOLYGON (((-114.0743354733605 51.04636587244427, -114.07442998188473 51.04636854787461, -114.07445475787824 51.04640154328967, -114.07449818395253 51.04639587905655, -114.07455438628939 51.046391816719435, -114.07462464799676 51.04639177188066, -114.07468596914204 51.04639334277396, -114.07474729288413 51.046396524593405, -114.07481245391787 51.046402120364576, -114.07487378936415 51.04641254963215, -114.07487886926596 51.04639402483289, -114.07516504020325 51.04640269963096, -114.07531460200886 51.04646219358997, -114.07540530812504 51.04646535612732, -114.07541354441165 51.0464656429797, -114.07541115919113 51.04650470220709, -114.07540026111012 51.04650401343274, -114.07529932872342 51.04649763556018, -114.07515360933805 51.04644377567333, -114.07492876078787 51.0464366725114, -114.07491985400115 51.046459226266705, -114.07485212961936 51.04644799563513, -114.0748022966486 51.04644078001634, -114.07474480092475 51.04643518023683, -114.07468475220826 51.04643119212138, -114.07461960163263 51.046431233733315, -114.07456722734182 51.04643287721965, -114.07449569423281 51.04643694933521, -114.07438968602276 51.04645070641693, -114.0743354733605 51.04636587244427",,<Null>,2024-05-23,,"-114.0743354733605 51.04636587244427, -114.07442998188473 51.04636854787461, -114.07445475787824 51.04640154328967, -114.07449818395253 51.04639587905655, -114.07455438628939 51.046391816719435, -114.07462464799676 51.04639177188066, -114.07468596914204 51.04639334277396, -114.07474729288413 51.046396524593405, -114.07481245391787 51.046402120364576, -114.07487378936415 51.04641254963215, -114.07487886926596 51.04639402483289, -114.07516504020325 51.04640269963096, -114.07531460200886 51.04646219358997, -114.07540530812504 51.04646535612732, -114.07541354441165 51.0464656429797, -114.07541115919113 51.04650470220709, -114.07540026111012 51.04650401343274, -114.07529932872342 51.04649763556018, -114.07515360933805 51.04644377567333, -114.07492876078787 51.0464366725114, -114.07491985400115 51.046459226266705, -114.07485212961936 51.04644799563513, -114.0748022966486 51.04644078001634, -114.07474480092475 51.04643518023683, -114.07468475220826 51.04643119212138, -114.07461960163263 51.046431233733315, -114.07456722734182 51.04643287721965, -114.07449569423281 51.04643694933521, -114.07438968602276 51.04645070641693, -114.0743354733605 51.04636587244427"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06777230474728 51.05075519747551, -114.0677700214967 51.050813952046035, -114.06772898969342 51.050813933577466, -114.06772928223256 51.05082479838951, -114.06742360735149 51.050817244849924, -114.06742421798012 51.05080460854031, -114.06734591121757 51.05080168078286, -114.06734866284488 51.05074786490566, -114.06742602417685 51.050749008746266, -114.06742979286835 51.05073759771213, -114.06773215335043 51.050744669509015, -114.06773078988869 51.05075446909941, -114.06777230474728 51.05075519747551",,,2024-05-23,,"-114.06777230474728 51.05075519747551, -114.0677700214967 51.050813952046035, -114.06772898969342 51.050813933577466, -114.06772928223256 51.05082479838951, -114.06742360735149 51.050817244849924, -114.06742421798012 51.05080460854031, -114.06734591121757 51.05080168078286, -114.06734866284488 51.05074786490566, -114.06742602417685 51.050749008746266, -114.06742979286835 51.05073759771213, -114.06773215335043 51.050744669509015, -114.06773078988869 51.05075446909941, -114.06777230474728 51.05075519747551"
Bridge Enclosed,,"MULTIPOLYGON (((-114.0634705330678 51.04912529226852, -114.06346808131278 51.04912520370257, -114.06347271106911 51.04907848067607, -114.06351462645752 51.0490780992165, -114.0635669186893 51.04907343298865, -114.06361391908254 51.04906517552455, -114.06366570944414 51.04905127437854, -114.06371282402186 51.04903271548365, -114.06375684456958 51.04900854237463, -114.06380161503313 51.04897383108084, -114.06383367706722 51.04893839854294, -114.06385105842193 51.04890753630355, -114.06386302944627 51.04886574460969, -114.06386357070028 51.048824790709794, -114.0638550812583 51.04878896678747, -114.06383433028137 51.04874957614459, -114.06380556601951 51.04871671461705, -114.06375750190463 51.04867913771151, -114.06371443500684 51.0486559641014, -114.06382904770194 51.048659311372084, -114.06385212083251 51.04867718832864, -114.06389425464836 51.04872284301097, -114.06391008712889 51.04874800289656, -114.06392702398401 51.04878284231495, -114.06393689945439 51.04882260567165, -114.0639374448962 51.0488624325646, -114.06392875209056 51.04890167118841, -114.06390794665025 51.048944040365136, -114.06387980932116 51.04897930446853, -114.0638429261885 51.04901639825703, -114.06380025724008 51.049046457134274, -114.06375362051949 51.04907129333043, -114.06370573959504 51.049090559251916, -114.06365692634319 51.049104947835374, -114.06359941974722 51.049115745238055, -114.06353730654054 51.04912344096377, -114.06350361232833 51.04912531385577, -114.0634705330678 51.04912529226852",,"Daily, 7am - 12 midnight",2024-05-23,,"-114.0634705330678 51.04912529226852, -114.06346808131278 51.04912520370257, -114.06347271106911 51.04907848067607, -114.06351462645752 51.0490780992165, -114.0635669186893 51.04907343298865, -114.06361391908254 51.04906517552455, -114.06366570944414 51.04905127437854, -114.06371282402186 51.04903271548365, -114.06375684456958 51.04900854237463, -114.06380161503313 51.04897383108084, -114.06383367706722 51.04893839854294, -114.06385105842193 51.04890753630355, -114.06386302944627 51.04886574460969, -114.06386357070028 51.048824790709794, -114.0638550812583 51.04878896678747, -114.06383433028137 51.04874957614459, -114.06380556601951 51.04871671461705, -114.06375750190463 51.04867913771151, -114.06371443500684 51.0486559641014, -114.06382904770194 51.048659311372084, -114.06385212083251 51.04867718832864, -114.06389425464836 51.04872284301097, -114.06391008712889 51.04874800289656, -114.06392702398401 51.04878284231495, -114.06393689945439 51.04882260567165, -114.0639374448962 51.0488624325646, -114.06392875209056 51.04890167118841, -114.06390794665025 51.048944040365136, -114.06387980932116 51.04897930446853, -114.0638429261885 51.04901639825703, -114.06380025724008 51.049046457134274, -114.06375362051949 51.04907129333043, -114.06370573959504 51.049090559251916, -114.06365692634319 51.049104947835374, -114.06359941974722 51.049115745238055, -114.06353730654054 51.04912344096377, -114.06350361232833 51.04912531385577, -114.0634705330678 51.04912529226852"
Bridge Enclosed,,"MULTIPOLYGON (((-114.0667125310902 51.04675409531711, -114.06673283798459 51.046493270940786, -114.0668055924908 51.04649506148641, -114.06680487916617 51.046508756851196, -114.0667944470786 51.04664557214262, -114.06678666550532 51.0467571823051, -114.0667125310902 51.04675409531711",,,2024-05-23,,"-114.0667125310902 51.04675409531711, -114.06673283798459 51.046493270940786, -114.0668055924908 51.04649506148641, -114.06680487916617 51.046508756851196, -114.0667944470786 51.04664557214262, -114.06678666550532 51.0467571823051, -114.0667125310902 51.04675409531711"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06659365310499 51.04739626271388, -114.06667308260967 51.04739851161083, -114.06665295996756 51.047680903990596, -114.06661858833625 51.04767997427083, -114.06657334887497 51.047678665971105, -114.06657872711514 51.047603211206386, -114.06658587840194 51.04751308778693, -114.06658780348029 51.047471156791374, -114.06659365310499 51.04739626271388",,,2024-05-23,,"-114.06659365310499 51.04739626271388, -114.06667308260967 51.04739851161083, -114.06665295996756 51.047680903990596, -114.06661858833625 51.04767997427083, -114.06657334887497 51.047678665971105, -114.06657872711514 51.047603211206386, -114.06658587840194 51.04751308778693, -114.06658780348029 51.047471156791374, -114.06659365310499 51.04739626271388"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07256391716689 51.048819351732575, -114.07256516231713 51.0487874625955, -114.07271670049654 51.04879205386314, -114.07271491307962 51.04882367544529, -114.07267622496771 51.04882374265815, -114.0726762863778 51.0488228849999, -114.0726763114794 51.0488225209003, -114.07263250416739 51.0488212859731, -114.07261940673072 51.048820807766965, -114.07261939548992 51.048820915650694, -114.07256391716689 51.048819351732575",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.07256391716689 51.048819351732575, -114.07256516231713 51.0487874625955, -114.07271670049654 51.04879205386314, -114.07271491307962 51.04882367544529, -114.07267622496771 51.04882374265815, -114.0726762863778 51.0488228849999, -114.0726763114794 51.0488225209003, -114.07263250416739 51.0488212859731, -114.07261940673072 51.048820807766965, -114.07261939548992 51.048820915650694, -114.07256391716689 51.048819351732575"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07728137593854 51.045198976831756, -114.0772903868278 51.04507956203303, -114.0773011415894 51.04493691300818, -114.07730132353572 51.04493398762827, -114.0773034941464 51.04490579258745, -114.0773044604459 51.04489259501811, -114.07738899048863 51.04489508407288, -114.07736515793921 51.04520152123575, -114.07728137593854 51.045198976831756",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.07728137593854 51.045198976831756, -114.0772903868278 51.04507956203303, -114.0773011415894 51.04493691300818, -114.07730132353572 51.04493398762827, -114.0773034941464 51.04490579258745, -114.0773044604459 51.04489259501811, -114.07738899048863 51.04489508407288, -114.07736515793921 51.04520152123575, -114.07728137593854 51.045198976831756"
Bridge Enclosed,,"MULTIPOLYGON (((-114.0743354733605 51.04636587244427, -114.07406112912089 51.04635871098238, -114.07348718121011 51.046342343362404, -114.0732423200136 51.04633385253282, -114.07323922660656 51.04633374479651, -114.07324006532303 51.046307621907374, -114.07324145706913 51.04629216049393, -114.07324203798113 51.0462825204401, -114.07416105210801 51.04630572686857, -114.07443500517225 51.04631459100031, -114.07442998188473 51.04636854787461, -114.0743354733605 51.04636587244427",,<Null>,2024-05-23,,"-114.0743354733605 51.04636587244427, -114.07406112912089 51.04635871098238, -114.07348718121011 51.046342343362404, -114.0732423200136 51.04633385253282, -114.07323922660656 51.04633374479651, -114.07324006532303 51.046307621907374, -114.07324145706913 51.04629216049393, -114.07324203798113 51.0462825204401, -114.07416105210801 51.04630572686857, -114.07443500517225 51.04631459100031, -114.07442998188473 51.04636854787461, -114.0743354733605 51.04636587244427"
Enclosed,,"MULTIPOLYGON (((-114.06667308260967 51.04739851161083, -114.06659365310499 51.04739626271388, -114.06656122057728 51.047395864064434, -114.06653871566465 51.04739462460886, -114.06651951738368 51.04739296704262, -114.06650296350148 51.047387552958355, -114.06649037880983 51.04738130146791, -114.06648043865437 51.04737337997802, -114.06647248452187 51.04736504023437, -114.06646850017545 51.04735628110916, -114.06645592445267 51.047356288260076, -114.066460492611 51.04731059985336, -114.06646567352789 51.04723069977961, -114.0664819104457 51.04701373688161, -114.0665024282036 51.04701372520933, -114.06650239773552 51.04699244743285, -114.06651668993463 51.046804899128816, -114.06651931733406 51.04679029471431, -114.06652261518693 51.04678278281602, -114.06652723731085 51.04677485304033, -114.06653384758721 51.04676900864933, -114.0665424442219 51.04676399737414, -114.06655170400107 51.046758984821764, -114.0665616264674 51.0467556421833, -114.06657552270974 51.04675271350516, -114.06658875819632 51.04675145459489, -114.06660331862044 51.04675123773694, -114.0667125310902 51.04675409531711, -114.06678666550532 51.0467571823051, -114.0668104943834 51.04675800293373, -114.06680658144393 51.04679889316454, -114.06659014056194 51.04679254946432, -114.06658418662924 51.04679463937287, -114.06658154369698 51.04679839499018, -114.06656010470365 51.04707898659087, -114.06658327261613 51.047080225664686, -114.06658460593833 51.04708710924086, -114.06678582473468 51.047092835065946, -114.06676177867806 51.04740138174537, -114.06667308260967 51.04739851161083",,,2024-05-23,,"-114.06667308260967 51.04739851161083, -114.06659365310499 51.04739626271388, -114.06656122057728 51.047395864064434, -114.06653871566465 51.04739462460886, -114.06651951738368 51.04739296704262, -114.06650296350148 51.047387552958355, -114.06649037880983 51.04738130146791, -114.06648043865437 51.04737337997802, -114.06647248452187 51.04736504023437, -114.06646850017545 51.04735628110916, -114.06645592445267 51.047356288260076, -114.066460492611 51.04731059985336, -114.06646567352789 51.04723069977961, -114.0664819104457 51.04701373688161, -114.0665024282036 51.04701372520933, -114.06650239773552 51.04699244743285, -114.06651668993463 51.046804899128816, -114.06651931733406 51.04679029471431, -114.06652261518693 51.04678278281602, -114.06652723731085 51.04677485304033, -114.06653384758721 51.04676900864933, -114.0665424442219 51.04676399737414, -114.06655170400107 51.046758984821764, -114.0665616264674 51.0467556421833, -114.06657552270974 51.04675271350516, -114.06658875819632 51.04675145459489, -114.06660331862044 51.04675123773694, -114.0667125310902 51.04675409531711, -114.06678666550532 51.0467571823051, -114.0668104943834 51.04675800293373, -114.06680658144393 51.04679889316454, -114.06659014056194 51.04679254946432, -114.06658418662924 51.04679463937287, -114.06658154369698 51.04679839499018, -114.06656010470365 51.04707898659087, -114.06658327261613 51.047080225664686, -114.06658460593833 51.04708710924086, -114.06678582473468 51.047092835065946, -114.06676177867806 51.04740138174537, -114.06667308260967 51.04739851161083"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07184476550813 50.997585585433924, -114.07104112197447 50.9975670490134, -114.07104255657748 50.997519476776866, -114.07184769914116 50.997532303737934, -114.07184476550813 50.997585585433924",,,2024-05-23,,"-114.07184476550813 50.997585585433924, -114.07104112197447 50.9975670490134, -114.07104255657748 50.997519476776866, -114.07184769914116 50.997532303737934, -114.07184476550813 50.997585585433924"
